fr0    inwait: 0.000    rwait: 0.000    render: 0.010     rfills: 0100    out_syncs: 0.000     out_waits: 0.019     copies: 0.001      
fr141  inwait: 0.000    rwait: 0.027    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr142  inwait: 0.000    rwait: 0.033    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr143  inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr144  inwait: 0.000    rwait: 0.026    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr145  inwait: 0.000    rwait: 0.027    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr146  inwait: 0.000    rwait: 0.030    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr147  inwait: 0.000    rwait: 0.030    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr148  inwait: 0.000    rwait: 0.028    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr149  inwait: 0.000    rwait: 0.034    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr150  inwait: 0.000    rwait: 0.028    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr151  inwait: 0.000    rwait: 0.028    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr152  inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr153  inwait: 0.000    rwait: 0.031    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr154  inwait: 0.000    rwait: 0.029    render: 0.010     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr155  inwait: 0.000    rwait: 0.025    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr156  inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr157  inwait: 0.000    rwait: 0.034    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr158  inwait: 0.000    rwait: 0.025    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr159  inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr160  inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr161  inwait: 0.000    rwait: 0.032    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr162  inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr163  inwait: 0.000    rwait: 0.031    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr164  inwait: 0.000    rwait: 0.025    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr165  inwait: 0.000    rwait: 0.032    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr166  inwait: 0.000    rwait: 0.026    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr167  inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr168  inwait: 0.000    rwait: 0.030    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr169  inwait: 0.000    rwait: 0.031    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr170  inwait: 0.000    rwait: 0.026    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr171  inwait: 0.000    rwait: 0.031    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr172  inwait: 0.000    rwait: 0.027    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr173  inwait: 0.000    rwait: 0.034    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr174  inwait: 0.000    rwait: 0.025    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr175  inwait: 0.000    rwait: 0.034    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr176  inwait: 0.000    rwait: 0.025    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr177  inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr178  inwait: 0.000    rwait: 0.033    render: 0.010     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr179  inwait: 0.000    rwait: 0.027    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr180  inwait: 0.000    rwait: 0.028    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr181  inwait: 0.000    rwait: 0.028    render: 0.015     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr182  inwait: 0.000    rwait: 0.031    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr183  inwait: 0.000    rwait: 0.026    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr184  inwait: 0.000    rwait: 0.028    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr185  inwait: 0.000    rwait: 0.029    render: 0.011     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr186  inwait: 0.000    rwait: 0.029    render: 0.145     rfills: 0001    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr187  inwait: 0.000    rwait: 0.000    render: 0.007     rfills: 1001    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr188  inwait: 0.000    rwait: 0.000    render: 0.005     rfills: 1101    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr189  inwait: 0.000    rwait: 0.000    render: 0.005     rfills: 1110    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr190  inwait: 0.000    rwait: 0.000    render: 0.005     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr191  inwait: 0.000    rwait: 0.034    render: 0.008     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr192  inwait: 0.000    rwait: 0.035    render: 0.008     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr193  inwait: 0.000    rwait: 0.032    render: 0.008     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr194  inwait: 0.000    rwait: 0.030    render: 0.008     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr195  inwait: 0.000    rwait: 0.032    render: 0.008     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr196  inwait: 0.000    rwait: 0.033    render: 0.008     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr197  inwait: 0.000    rwait: 0.034    render: 0.008     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

fr198  inwait: 0.000    rwait: 0.031    render: 0.008     rfills: 1111    out_syncs: 0.000     out_waits: 0.000     copies: 0.001      

